epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4754,1.3352,1.50864,1.11741,0.50815,0.39875,0.40461,0.22263,1.33008,1.1887,1.13294,0.000368363,0.000368363,0.000368363
2,102.947,1.26607,0.97867,1.09539,0.56846,0.47256,0.49981,0.2922,1.21223,0.93412,1.09634,0.000665566,0.000665566,0.000665566
3,150.875,1.22035,0.91399,1.08024,0.53935,0.46887,0.48488,0.27016,1.25409,1.00437,1.12054,0.000889442,0.000889442,0.000889442
4,197.609,1.19668,0.87651,1.06598,0.57805,0.53573,0.5382,0.31746,1.2216,0.94824,1.11085,0.000781033,0.000781033,0.000781033
5,244.523,1.15127,0.81164,1.04613,0.67036,0.56094,0.6115,0.361,1.15832,0.80858,1.06822,0.000671044,0.000671044,0.000671044
6,291.318,1.1113,0.76359,1.02763,0.71867,0.58786,0.6489,0.39442,1.1186,0.77055,1.05404,0.000561055,0.000561055,0.000561055
7,337.827,1.05152,0.70728,1.00311,0.73884,0.56384,0.6483,0.40176,1.06628,0.74985,1.0343,0.000451066,0.000451066,0.000451066
8,385.034,1.01536,0.66487,0.98999,0.75991,0.62186,0.7027,0.44466,1.03052,0.69268,1.01648,0.000341077,0.000341077,0.000341077
9,432.576,0.97558,0.62837,0.97459,0.81043,0.65663,0.74999,0.48524,0.98327,0.63495,0.99863,0.000231088,0.000231088,0.000231088
10,479.613,0.93622,0.59223,0.955,0.8137,0.66651,0.75943,0.49588,0.97142,0.62368,0.99134,0.000121099,0.000121099,0.000121099
