epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6697,1.34203,2.0173,1.11318,0.4129,0.31204,0.29981,0.17022,1.4124,1.67233,1.02547,0.000237088,0.000237088,0.000237088
2,170.174,1.25257,1.02369,1.07634,0.55936,0.36274,0.34697,0.21068,1.3689,1.43351,1.03346,0.000428054,0.000428054,0.000428054
3,239.74,1.21689,0.93831,1.0607,0.41301,0.34838,0.33477,0.20019,1.37746,1.48318,1.02283,0.000571897,0.000571897,0.000571897
4,308.837,1.19519,0.90019,1.05024,0.61466,0.38801,0.40657,0.24242,1.35164,1.35553,1.01389,0.000501942,0.000501942,0.000501942
5,378.9,1.13859,0.82738,1.02823,0.57138,0.20246,0.23159,0.1398,1.4815,2.89719,1.072,0.000431256,0.000431256,0.000431256
6,449.016,1.09713,0.78111,1.01024,0.52298,0.24156,0.27058,0.17377,1.44131,3.04694,1.04948,0.00036057,0.00036057,0.00036057
7,518.499,1.05019,0.73316,0.99281,0.52212,0.18756,0.20266,0.12495,1.53397,3.62637,1.08673,0.000289884,0.000289884,0.000289884
8,588.132,1.00834,0.68336,0.97425,0.53019,0.24263,0.27411,0.17055,1.44259,3.11072,1.0639,0.000219198,0.000219198,0.000219198
9,658.095,0.97082,0.64469,0.96006,0.5235,0.22119,0.28414,0.17674,1.44246,3.28557,1.05084,0.000148512,0.000148512,0.000148512
10,727.926,0.93305,0.61324,0.9449,0.54179,0.24007,0.28553,0.18593,1.389,3.26809,1.04048,7.7826e-05,7.7826e-05,7.7826e-05
