epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9421,1.51038,9.05164,0.93268,0.49193,0.15437,0.14146,0.08211,1.6197,2.20714,0.93394,0.000411036,0.000411036,0.000411036
2,95.7298,1.57455,2.3045,0.94349,0.52927,0.17629,0.14476,0.07828,1.85091,2.44008,0.95636,0.00074576,0.00074576,0.00074576
3,122.492,1.58345,2.04205,0.94309,0.55763,0.21851,0.20173,0.11993,1.58587,2.06796,0.93,0.000997984,0.000997984,0.000997984
4,151.109,1.57712,1.87583,0.95661,0.53933,0.19435,0.17067,0.09812,1.68128,1.88824,0.944,0.00087875,0.00087875,0.00087875
5,178.886,1.49146,1.78909,0.93367,0.59677,0.16953,0.16643,0.09968,nan,nan,nan,0.000755,0.000755,0.000755
6,208.203,1.41702,1.64264,0.89871,0.59023,0.24486,0.21241,0.12242,1.54059,1.68846,0.90884,0.00063125,0.00063125,0.00063125
7,238.222,1.39175,1.58387,0.90242,0.58587,0.25308,0.24181,0.15132,1.40103,1.58358,0.88778,0.0005075,0.0005075,0.0005075
8,267.042,1.31255,1.48279,0.8832,0.63297,0.28041,0.26622,0.1638,1.3476,1.50108,0.87108,0.00038375,0.00038375,0.00038375
9,294.564,1.26406,1.42903,0.89135,0.42023,0.2906,0.27737,0.17249,1.29855,1.49405,0.86666,0.00026,0.00026,0.00026
10,321.619,1.18213,1.33038,0.85915,0.41639,0.28643,0.28955,0.18373,1.26045,1.40983,0.85939,0.00013625,0.00013625,0.00013625
