epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4415,1.17293,2.33805,1.04522,0.75266,0.58144,0.67514,0.41994,1.26009,1.32919,1.11817,0.00047428,0.00047428,0.00047428
2,124.447,1.0834,0.8656,1.0135,0.84645,0.70492,0.81215,0.57266,1.04106,0.87987,1.00302,0.000856503,0.000856503,0.000856503
3,177.637,1.0371,0.76069,0.98756,0.87642,0.79922,0.88059,0.64966,0.9403,0.69428,0.96503,0.00114441,0.00114441,0.00114441
4,230.56,1.0096,0.69389,0.97345,0.80316,0.74461,0.81254,0.58519,0.97859,1.01115,0.97393,0.00100459,0.00100459,0.00100459
5,283.041,0.94281,0.60563,0.94564,0.90065,0.83919,0.91034,0.70834,0.86433,0.61849,0.93173,0.000863116,0.000863116,0.000863116
6,336.432,0.90779,0.55563,0.92929,0.90999,0.82686,0.9213,0.69916,0.86477,0.59053,0.92142,0.000721645,0.000721645,0.000721645
7,388.9,0.86562,0.5134,0.9193,0.93197,0.90361,0.95495,0.7397,0.81907,0.48484,0.90009,0.000580174,0.000580174,0.000580174
8,441.792,0.83055,0.46957,0.90413,0.92184,0.9269,0.96408,0.75732,0.79407,0.46086,0.8917,0.000438703,0.000438703,0.000438703
9,494.961,0.79783,0.4322,0.8839,0.95233,0.93695,0.97516,0.78269,0.74012,0.41519,0.87317,0.000297232,0.000297232,0.000297232
10,548.581,0.75619,0.40124,0.8739,0.95184,0.94428,0.98043,0.79787,0.7319,0.38497,0.86433,0.000155761,0.000155761,0.000155761
